num_obs,num_females,num_males,p_alive,p_alive_females,p_alive_males,mortality_HRs(F:M),at_risk_females,at_risk_males,mean_U_at_risk_females,mean_U_at_risk_males,inc_cases_females,inc_cases_males,dem_cases_females,dem_cases_males,PY_females,PY_males,dem_prob_females,dem_prob_males,sim_rates,sim_rates_females,sim_rates_males,IRRs(F:M),dem_HRs(F:M)
99679.06,50807.53,48871.53,0.9734504047604066,0.979631662836538,0.967024175903628,0.6136325500227972,50807.53,48871.53,-2.9706531137989296e-4,1.6835793325797676e-4,278.96,262.68,278.96,262.68,251230.03746894858,240114.8769164769,0.00549064813382979,0.005375082748430774,1.1023700000000007,1.11045,1.0940100000000001,1.0153789422545882,1.0107942324692758
NA,NA,NA,0.9339737089018186,0.951817492235348,0.9154230356372954,0.5251352677474229,49494.59,46998.68,-0.0036760729697741406,-0.0031443122179223753,379.6,357.55,657.68,618.82,243645.81183154735,228389.1305599707,0.013213819768321923,0.01309427128880685,1.5616400000000001,1.5579799999999995,1.5655400000000004,0.9948816122778803,0.9859368645569714
NA,NA,NA,0.8766175416383745,0.9133549937071664,0.8384250950285892,0.4694035053367573,47711.69,44137.06,-0.011567510923810944,-0.011114205640556643,474.48,423.58,1122.28,1024.65,233312.64879642084,210913.20699026505,0.023207186142999894,0.022903369589679715,2.02169,2.0337100000000006,2.008290000000001,1.0128590139675306,0.997019117767587
NA,NA,NA,0.7932619153800781,0.8575061753327102,0.7264729126619665,0.44018767374682977,45312.91,40007.13,-0.024336628807826423,-0.023791744730421557,742.08,612.25,1834.46,1580.24,218885.3285319572,185786.10055914283,0.03953155420707555,0.0385661570372767,3.3467299999999995,3.3903099999999995,3.295539999999999,1.0289267031876923,1.0024255914839364
NA,NA,NA,0.6753759674828091,0.7719073621338469,0.5750213267025792,0.44982438780004114,41808.22,34068.98,-0.045748217906055384,-0.04504249983140499,1475.84,1082.88,3235.38,2517.74,196831.85279811668,150734.15798004591,0.07426084016733675,0.07091548989425428,7.36184,7.497919999999999,7.18412,1.0437622166678884,1.0049719836412352
NA,NA,NA,0.5221028344683023,0.6448284858341379,0.39451586414957307,0.4774131996167069,36194.13,25936.38,-0.08786118408603194,-0.08679033347046172,2703.63,1694.19,5728.19,3859.96,161986.5489466663,105801.20968886981,0.14605808929771985,0.13735570109595913,16.422890000000006,16.690709999999996,16.01321,1.0424114365872699,0.9933108751041817
NA,NA,NA,0.3474700752472172,0.47024273125615756,0.2198350208563369,0.5398808207687922,27659.22,16272.53,-0.16675256888867707,-0.16636089700336257,3612.3,1774.44,8715.22,4782.49,113165.86555850545,59018.017889376104,0.26601650803434146,0.24804769166259166,31.284999999999997,31.920510000000018,30.06660999999999,1.0618181160495566,0.9998456021505605
NA,NA,NA,0.1834544475735919,0.27237554697010996,0.09101104915479086,0.6194698438934696,16898.12,7604.03,-0.2685246611197328,-0.2688986803572107,2981.98,1104.08,9975.71,4243.69,59897.24638977568,23439.776688850754,0.4175373978870426,0.39499958289718506,49.030969999999996,49.78571000000001,47.1068,1.0571179548323208,0.9984789160895895
NA,NA,NA,0.06170853819664851,0.09949469206729968,0.022425532064038144,0.7195485672936335,7373.89,2373.83,-0.3875054424308537,-0.3859484402021496,1413.06,374.43,7877.89,2448.45,20713.299103389563,5764.679602039218,0.5692637280532404,0.5505021817320725,67.51103000000002,68.22448,64.96779000000004,1.0510626251247013,0.9931697371641398
99679.78,50837.94,48841.84,0.9734474750908986,0.9796094091865172,0.9670337038452775,0.6144713191770919,50837.94,48841.84,-5.8690444215860895e-5,4.112335923658767e-4,277.99,262.8,277.99,262.8,251370.64225573986,239955.02364450964,0.005467905538002765,0.005380573529952376,1.1006799999999992,1.10588,1.09516,1.0097669147361072,1.005209128087616
NA,NA,NA,0.9339513994687217,0.9518423737939797,0.9153292900438905,0.5231659399493596,49524.32,46970.38,-0.003428401119774408,-0.003052514638660067,385.09,355.7,662.09,617.03,243790.77845296924,228223.31788970757,0.013294340659371691,0.0130639985880747,1.56944,1.5796100000000004,1.5585700000000002,1.0139352151601857,1.0048143327975896
NA,NA,NA,0.8766220245669928,0.9134873447739362,0.838249876830765,0.46751466101722655,47737.35,44106.65,-0.01142394316300469,-0.011101492224862206,476.76,420.8,1129.11,1020.52,233448.30653830792,210756.9663799602,0.023333287883560944,0.02282743885077671,2.0206299999999997,2.0421999999999993,1.9966799999999998,1.0227876198103825,1.0068350200992437
NA,NA,NA,0.7933467726973034,0.8577212887035256,0.7263404204106636,0.4395632919270233,45340.44,39979.07,-0.024259450338496143,-0.02393223176683272,740.35,612.75,1839.72,1575.36,219033.3750551565,185684.27967277373,0.039614512277567196,0.038478237256517375,3.3433600000000014,3.3800499999999998,3.299880000000003,1.0242093410084085,0.997731683161955
